Customer_ID,Customer_Name,Transaction_Count,Total_Transaction_Amount,Average_Transaction_Amount,Account_Balance
CUST0136,Suresh B,1,49591.21,49591.21,133322.04
CUST0072,Divya R,1,49457.74,49457.74,139436.39
CUST0116,Meena V,1,48963.31,48963.31,94909.03
CUST0083,Arun Kumar,1,48898.06,48898.06,103482.42
CUST0001,Anitha J,1,48783.56,48783.56,190523.79
CUST0096,Anitha J,1,47992.75,47992.75,26647.67
CUST0018,Pooja M,1,47932.1,47932.1,121093.56
CUST0141,Naveen R,1,47650.83,47650.83,152905.06
CUST0046,Dinesh V,1,47306.75,47306.75,64092.46
CUST0067,Anitha J,1,46060.75,46060.75,126404.6
CUST0035,Suresh B,1,46056.43,46056.43,42217.4
CUST0090,Karthik Raj,1,45773.41,45773.41,124732.23
CUST0115,Keerthana S,1,45208.27,45208.27,216527.56
CUST0049,Anitha J,1,44928.49,44928.49,190870.5
CUST0020,Vijay M,1,44818.42,44818.42,35922.02
CUST0114,Dinesh V,1,43930.45,43930.45,95384.12
CUST0026,Priya S,1,43740.65,43740.65,49912.23
CUST0085,Arun Kumar,1,43286.28,43286.28,185118.44
CUST0037,Ajay K,1,42571.47,42571.47,11825.29
CUST0077,Keerthana S,1,42528.69,42528.69,85807.11
CUST0043,Naveen R,1,42443.17,42443.17,163494.25
CUST0144,Anitha J,1,42181.81,42181.81,244572.9
CUST0022,Dinesh V,1,41506.51,41506.51,202254.62
CUST0084,Anitha J,1,41146.9,41146.9,10205.71
CUST0034,Vijay M,1,40846.78,40846.78,27214.24
CUST0031,Karthik Raj,1,40237.61,40237.61,117378.02
CUST0057,Dinesh V,1,40068.1,40068.1,232021.06
CUST0132,Arun Kumar,1,39702.41,39702.41,53776.7
CUST0066,Suresh B,1,39392.87,39392.87,137736.95
CUST0094,Karthik Raj,1,39212.82,39212.82,110158.18
CUST0014,Dinesh V,1,38959.67,38959.67,179505.66
CUST0021,Priya S,1,38455.51,38455.51,27827.5
CUST0080,Meena V,1,38095.48,38095.48,117204.16
CUST0003,Divya R,1,37928.58,37928.58,89276.97
CUST0119,Naveen R,1,37699.88,37699.88,220377.98
CUST0082,Anitha J,1,37524.18,37524.18,87276.72
CUST0126,Anitha J,1,35541.24,35541.24,212982.33
CUST0106,Arun Kumar,1,35433.75,35433.75,184906.52
CUST0006,Meena V,1,35043.23,35043.23,78779.29
CUST0042,Divya R,1,34318.59,34318.59,74922.24
CUST0100,Meena V,1,34194.59,34194.59,57834.97
CUST0002,Meena V,1,32228.87,32228.87,205867.64
CUST0075,Suresh B,1,31915.68,31915.68,162638.11
CUST0091,Sneha K,1,31763.56,31763.56,86479.82
CUST0102,Priya S,1,31045.45,31045.45,61168.09
CUST0103,Divya R,1,30994.04,30994.04,41523.13
CUST0104,Dinesh V,1,30210.88,30210.88,246177.73
CUST0109,Rahul P,1,29768.92,29768.92,74394.04
CUST0016,Ajay K,1,29246.49,29246.49,162811.8
CUST0117,Pooja M,1,29091.37,29091.37,102875.85
CUST0062,Pooja M,1,28943.06,28943.06,175244.21
CUST0047,Arun Kumar,1,28664.28,28664.28,117030.3
CUST0019,Arun Kumar,1,28629.23,28629.23,118898.86
CUST0008,Keerthana S,1,28480.19,28480.19,35809.45
CUST0111,Karthik Raj,1,28390.2,28390.2,189847.14
CUST0030,Anitha J,1,27804.38,27804.38,158859.8
CUST0129,Priya S,1,27765.39,27765.39,52721.6
CUST0009,Naveen R,1,27723.61,27723.61,140242.58
CUST0128,Arun Kumar,1,26874.74,26874.74,109206.21
CUST0040,Suresh B,1,26849.79,26849.79,129041.49
CUST0024,Dinesh V,1,25991.03,25991.03,79666.33
CUST0012,Arun Kumar,1,25102.13,25102.13,38925.71
CUST0063,Rahul P,1,23761.02,23761.02,30685.16
CUST0005,Pooja M,1,23530.83,23530.83,48178.37
CUST0130,Arun Kumar,1,23304.21,23304.21,100712.36
CUST0061,Rahul P,1,22982.18,22982.18,196236.16
CUST0053,Suresh B,1,22981.55,22981.55,111136.22
CUST0050,Sneha K,1,21951.41,21951.41,96446.64
CUST0051,Karthik Raj,1,21787.315000000002,21787.315000000002,246671.25
CUST0058,Ajay K,1,21787.315000000002,21787.315000000002,126628.22
CUST0081,Vijay M,1,21787.315000000002,21787.315000000002,110582.09
CUST0013,Meena V,1,21787.315000000002,21787.315000000002,22824.83
CUST0112,Karthik Raj,1,21787.315000000002,21787.315000000002,117204.16
CUST0088,Ajay K,1,21787.315000000002,21787.315000000002,47710.83
CUST0110,Dinesh V,1,21787.315000000002,21787.315000000002,64162.46
