Customer_ID,Customer_Name,Age,Gender,Account_Number,Account_Type,Branch,Transaction_ID,Transaction_Date,Transaction_Type,Transaction_Amount,Account_Balance,Loan_Type,Loan_Amount,Loan_Status
CUST0001,Anitha J,40,Male,ACC872737,Savings,Anna Nagar,TXN00001,2026-02-22,Deposit,48783.56,190523.79,No Loan,0,No Loan
CUST0002,Meena V,24,Female,ACC505346,Current,Guindy,TXN00002,2026-02-17,Transfer,32228.87,205867.64,No Loan,0,No Loan
CUST0003,Divya R,22,Female,ACC899099,Savings,T Nagar,TXN00003,2026-08-04,Withdrawal,37928.58,89276.97,Education,928396,Closed
CUST0004,Rahul P,64,Female,ACC800544,Salary,Tambaram,TXN00004,2026-04-05,Credit,2285.81,39418.08,No Loan,0,No Loan
CUST0005,  pooja m  ,56,Male,ACC970757,Current,Tambaram,TXN00005,2026-08-24,Withdrawal,23530.83,48178.37,No Loan,0,No Loan
CUST0006,Meena V,35,Male,ACC608049,Salary,T Nagar,TXN00006,2026-04-24,Deposit,35043.23,78779.29,Personal,1388633,Pending
CUST0007,Rahul P,59,Female,ACC448730,Salary,Tambaram,TXN00007,2026-03-04,Debit,7073.65,50777.14,No Loan,0,No Loan
CUST0008,Keerthana S,150,Female,ACC524409,Salary,Tambaram,TXN00008,2026-07-22,Credit,28480.19,35809.45,Personal,1603843,Closed
CUST0009,Naveen R,52,Male,ACC869571,Current,Chennai,TXN00009,2026-07-18,Credit,27723.61,140242.58,Personal,907246,Closed
CUST0010,Arun Kumar,150,Male,ACC984463,Savings,Tambaram,TXN00010,2026-04-17,Transfer,11773.58,-1000.0,Home,1225535,Pending
CUST0011,Vijay M,40,Female,ACC213652,Current,Velachery,TXN00011,2026-07-23,Transfer,20378.7,203691.08,Home,1839422,Closed
CUST0012,Arun Kumar,23,Male,ACC794396,Salary,Anna Nagar,TXN00012,2026-05-01,Debit,25102.13,38925.71,Home,701868,Active
CUST0013,Meena V,41,Male,ACC442918,Savings,Tambaram,TXN00013,2026-06-27,Debit,-18154.45,22824.83,No Loan,0,No Loan
CUST0014,  dinesh v  ,37,Female,ACC545558,Salary,Guindy,TXN00014,2026-03-11,Debit,38959.67,179505.66,Personal,710940,Pending
CUST0015,Vijay M,22,Male,ACC502320,Salary,Chennai,TXN00015,2026-04-29,Debit,15367.24,145225.67,Education,1486993,Active
CUST0016,  ajay k  ,19,Female,ACC543485,Salary,Velachery,TXN00016,2026-04-23,Withdrawal,29246.49,162811.8,Home,953251,Closed
CUST0017,Rahul P,58,Male,ACC261510,Current,Tambaram,TXN00017,2026-03-27,Debit,5259.81,147323.5,Personal,1527102,Active
CUST0018,  pooja m  ,69,Female,ACC502333,Current,Velachery,TXN00018,2026-06-03,Withdrawal,47932.1,121093.56,Home,634986,Active
CUST0019,Arun Kumar,22,Male,ACC537992,Salary,Guindy,TXN00019,2026-04-25,Transfer,28629.23,118898.86,No Loan,0,No Loan
