Customer_ID,Customer_Name,Transaction_Count,Total_Transaction_Amount,Average_Transaction_Amount,Maximum_Transaction_Amount
C034,Karthik Raj,1,39938.33,39938.33,39938.33
C014,Nisha Sharma,1,38846.03,38846.03,38846.03
C027,Ajay Babu,1,38762.95,38762.95,38762.95
C125,Kavya Devi,1,38663.36,38663.36,38663.36
C004,Ajay Rao,1,38292.8,38292.8,38292.8
C133,Sanjay Devi,1,37965.53,37965.53,37965.53
C040,Deepa Singh,1,37807.53,37807.53,37807.53
C124,Meena Babu,1,37773.09,37773.09,37773.09
C085,Sanjay Rao,1,37769.18,37769.18,37769.18
C145,Sanjay Devi,1,37651.08,37651.08,37651.08
C023,Sanjay Iyer,1,37427.02,37427.02,37427.02
C017,Nisha Iyer,1,36905.12,36905.12,36905.12
C097,Rahul Krishnan,1,36651.3,36651.3,36651.3
C011,Priya Iyer,1,36590.45,36590.45,36590.45
C093,Ravi Iyer,1,36345.62,36345.62,36345.62
C022,Divya Krishnan,1,36226.26,36226.26,36226.26
C059,Ajay Singh,1,35691.61,35691.61,35691.61
C095,Rahul Menon,1,35587.97,35587.97,35587.97
C035,Sanjay Iyer,1,35182.88,35182.88,35182.88
C007,Priya Kumar,1,34672.7,34672.7,34672.7
C057,Vijay Singh,1,34431.58,34431.58,34431.58
C105,Vijay Iyer,1,34191.05,34191.05,34191.05
C058,Vijay Iyer,1,33948.62,33948.62,33948.62
C036,Karthik Singh,1,32702.45,32702.45,32702.45
C043,Kavya Menon,1,32449.79,32449.79,32449.79
C003,Sanjay Iyer,1,32396.28,32396.28,32396.28
C147,Divya Sharma,1,32308.13,32308.13,32308.13
C010,Sanjay Iyer,1,32221.33,32221.33,32221.33
C135,Priya Babu,1,31566.89,31566.89,31566.89
C092,Rahul Raj,1,31534.34,31534.34,31534.34
C044,Karthik Devi,1,31516.24,31516.24,31516.24
C048,Nisha Raj,1,31478.48,31478.48,31478.48
C108,Meena Iyer,1,31044.22,31044.22,31044.22
C060,Suresh Babu,1,30095.89,30095.89,30095.89
C071,Deepa Raj,1,29942.23,29942.23,29942.23
C130,Suresh Babu,1,29751.29,29751.29,29751.29
C037,Ravi Sharma,1,29722.43,29722.43,29722.43
C025,Vijay Singh,1,29155.72,29155.72,29155.72
C121,Ajay Devi,1,28865.04,28865.04,28865.04
C079,Suresh Raj,1,28830.98,28830.98,28830.98
C102,Suresh Singh,1,28420.33,28420.33,28420.33
C113,Ravi Raj,1,28185.24,28185.24,28185.24
C008,Anitha Devi,1,28102.63,28102.63,28102.63
C051,Suresh Raj,1,27918.62,27918.62,27918.62
C020,Rahul Babu,1,27625.72,27625.72,27625.72
C098,Vijay Singh,1,26838.33,26838.33,26838.33
C077,Divya Sharma,1,26760.72,26760.72,26760.72
C050,Deepa Iyer,1,26569.16,26569.16,26569.16
C024,Anitha Iyer,1,26393.41,26393.41,26393.41
C069,Sanjay Kumar,1,26105.01,26105.01,26105.01
C074,Nisha Kumar,1,25936.98,25936.98,25936.98
C087,Rahul Singh,1,25214.88,25214.88,25214.88
C131,Nisha Rao,1,24664.52,24664.52,24664.52
C073,Deepa Iyer,1,24056.42,24056.42,24056.42
C076,Ravi Raj,1,23739.74,23739.74,23739.74
C089,Nisha Iyer,1,23582.15,23582.15,23582.15
C030,Divya Kumar,1,23408.69,23408.69,23408.69
C012,Rahul Rao,1,23382.96,23382.96,23382.96
C106,Ajay Babu,1,23238.94,23238.94,23238.94
C072,Kavya Rao,1,23074.29,23074.29,23074.29
C056,Divya Singh,1,23069.27,23069.27,23069.27
C144,Priya Sharma,1,22299.19,22299.19,22299.19
C107,Kavya Rao,1,21782.86,21782.86,21782.86
C126,Ravi Menon,1,21509.24,21509.24,21509.24
C066,Ravi Menon,1,21411.53,21411.53,21411.53
C129,Ravi Menon,1,19755.72,19755.72,19755.72
C029,Suresh Singh,1,19518.19,19518.19,19518.19
C139,Arun Babu,1,19211.38,19211.38,19211.38
C019,Priya Singh,1,19063.77,19063.77,19063.77
C091,Sanjay Sharma,1,18849.51,18849.51,18849.51
C128,Suresh Babu,1,18624.27,18624.27,18624.27
C026,Divya Iyer,1,18558.86,18558.86,18558.86
C045,Kavya Kumar,1,18466.1,18466.1,18466.1
C116,Ravi Iyer,1,18436.86,18436.86,18436.86
C065,Deepa Babu,1,18320.06,18320.06,18320.06
C141,Nisha Krishnan,1,18203.25,18203.25,18203.25
C138,Priya Sharma,1,18135.02,18135.02,18135.02
C117,Suresh Singh,1,17725.02,17725.02,17725.02
C122,Kavya Rao,1,17688.85,17688.85,17688.85
C086,Ajay Singh,1,17674.71,17674.71,17674.71
C094,Arun Rao,1,17622.22,17622.22,17622.22
C075,Vijay Singh,1,17475.94,17475.94,17475.94
C015,Deepa Sharma,1,17447.13,17447.13,17447.13
C081,Vijay Iyer,1,17077.6,17077.6,17077.6
C063,Vijay Menon,1,16863.73,16863.73,16863.73
C088,Karthik Krishnan,1,16705.34,16705.34,16705.34
C142,Priya Sharma,1,16611.16,16611.16,16611.16
C111,Kavya Rao,1,15959.58,15959.58,15959.58
C064,Arun Krishnan,1,15660.47,15660.47,15660.47
C118,Rahul Menon,1,15449.26,15449.26,15449.26
C009,Priya Krishnan,1,15240.27,15240.27,15240.27
C006,Priya Menon,1,14529.24,14529.24,14529.24
C042,Suresh Kumar,1,14211.78,14211.78,14211.78
C078,Anitha Devi,1,13679.52,13679.52,13679.52
C021,Vijay Devi,1,13589.61,13589.61,13589.61
C053,Arun Raj,1,12957.74,12957.74,12957.74
C099,Vijay Singh,1,12649.23,12649.23,12649.23
C033,Ravi Krishnan,1,12635.94,12635.94,12635.94
C052,Divya Menon,1,12107.9,12107.9,12107.9
C016,Deepa Raj,1,12007.95,12007.95,12007.95
C119,Divya Menon,1,11879.71,11879.71,11879.71
C114,Karthik Raj,1,11805.37,11805.37,11805.37
C061,Ajay Babu,1,11500.55,11500.55,11500.55
C054,Ravi Iyer,1,11423.08,11423.08,11423.08
C046,Ajay Iyer,1,11216.26,11216.26,11216.26
C083,Priya Babu,1,11132.34,11132.34,11132.34
C148,Kavya Krishnan,1,11003.49,11003.49,11003.49
C067,Nisha Kumar,1,10480.24,10480.24,10480.24
C038,Rahul Krishnan,1,10119.74,10119.74,10119.74
C104,Suresh Raj,1,9824.86,9824.86,9824.86
C018,Meena Singh,1,9710.78,9710.78,9710.78
C127,Ravi Raj,1,9429.49,9429.49,9429.49
C002,Sanjay Sharma,1,9383.17,9383.17,9383.17
C146,Suresh Kumar,1,8588.28,8588.28,8588.28
C055,Nisha Devi,1,8045.28,8045.28,8045.28
C084,Sanjay Krishnan,1,7259.72,7259.72,7259.72
C013,Karthik Babu,1,6483.28,6483.28,6483.28
C150,Arun Sharma,1,6380.63,6380.63,6380.63
C062,Meena Babu,1,6196.93,6196.93,6196.93
C143,Vijay Sharma,1,6190.29,6190.29,6190.29
C140,Ravi Sharma,1,6018.52,6018.52,6018.52
C123,Deepa Rao,1,5373.18,5373.18,5373.18
C101,Nisha Singh,1,5327.43,5327.43,5327.43
C039,Ravi Menon,1,5319.7,5319.7,5319.7
C041,Karthik Babu,1,5185.08,5185.08,5185.08
C137,Ajay Iyer,1,5157.67,5157.67,5157.67
C134,Ravi Iyer,1,5124.36,5124.36,5124.36
C082,Meena Devi,1,4914.17,4914.17,4914.17
C103,Arun Babu,1,4786.9,4786.9,4786.9
C070,Divya Kumar,1,4664.14,4664.14,4664.14
C001,Ravi Sharma,1,4189.56,4189.56,4189.56
C132,Deepa Devi,1,4064.25,4064.25,4064.25
C068,Anitha Devi,1,3368.06,3368.06,3368.06
C090,Nisha Krishnan,1,3339.38,3339.38,3339.38
C115,Karthik Iyer,1,3250.84,3250.84,3250.84
C149,Meena Devi,1,2876.46,2876.46,2876.46
C031,Kavya Babu,1,2834.0,2834.0,2834.0
C100,Ajay Menon,1,2262.74,2262.74,2262.74
C005,Priya Menon,1,1833.67,1833.67,1833.67
C032,Kavya Iyer,1,1685.69,1685.69,1685.69
C109,Deepa Singh,1,1577.08,1577.08,1577.08
C112,Meena Babu,1,1532.37,1532.37,1532.37
C047,Rahul Devi,1,1201.26,1201.26,1201.26
C136,Rahul Rao,1,1128.63,1128.63,1128.63
C096,Nisha Raj,1,927.74,927.74,927.74
C080,Ajay Iyer,1,788.01,788.01,788.01
C110,Meena Sharma,1,712.37,712.37,712.37
C028,Vijay Singh,1,186.0,186.0,186.0
C049,Sanjay Sharma,1,167.48,167.48,167.48
